cve_id,desc_len,word_count,is_injection,is_overflow,is_auth_bypass,is_xss,is_rce,is_dos,is_unauthenticated,is_root_admin,exploitability_score,av_network,av_adjacent,av_local,av_physical,ground_truth_severity
CVE-2017-18319,346,56,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18320,413,76,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18321,138,24,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18322,370,58,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18323,419,70,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18324,378,61,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18326,390,62,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18327,383,66,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18328,315,50,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18329,430,72,0,1,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18330,477,75,0,1,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-16876,163,27,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-16870,184,31,0,0,0,0,0,0,0,0,2.2,1,0,0,0,MEDIUM
CVE-2018-16882,565,80,0,0,0,0,0,1,0,0,2.0,0,0,1,0,HIGH
CVE-2018-16885,395,65,0,0,0,0,0,0,0,0,1.0,0,0,1,0,MEDIUM
CVE-2019-3701,826,130,0,0,0,0,0,1,0,1,0.8,0,0,1,0,MEDIUM
CVE-2018-17161,371,53,0,1,0,0,1,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-14481,102,15,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19414,252,37,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19415,200,29,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19505,308,48,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19523,290,50,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-19861,163,25,0,1,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19862,163,25,0,1,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19992,215,30,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-19993,185,25,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19994,188,24,1,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2018-19995,210,30,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-19998,166,22,1,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2018-20512,139,17,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-20663,150,23,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-20664,99,15,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2019-3575,134,16,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2019-3905,68,10,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-18004,203,27,0,0,0,0,0,0,0,0,3.9,1,0,0,0,MEDIUM
CVE-2018-18005,200,28,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-18244,195,28,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19600,98,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-19601,99,10,0,0,0,0,0,0,0,0,2.3,1,0,0,0,CRITICAL
CVE-2018-15780,239,33,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-18995,337,47,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-18997,308,46,0,0,0,0,0,0,1,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19249,312,44,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2018-3986,532,85,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-4012,332,41,0,1,0,0,1,0,1,0,2.2,1,0,0,0,CRITICAL
CVE-2018-8827,295,40,0,0,0,1,0,0,1,0,2.8,1,0,0,0,MEDIUM
CVE-2019-5005,261,42,0,0,0,0,0,1,0,0,1.8,0,0,1,0,MEDIUM
CVE-2019-5006,130,22,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2019-5007,216,35,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2019-5009,471,68,0,0,0,0,0,0,0,0,1.2,1,0,0,0,HIGH
CVE-2019-5310,182,25,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-1657,302,43,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-1859,166,25,0,0,0,0,0,0,0,1,0.9,1,0,0,0,MEDIUM
CVE-2018-1888,262,43,0,0,0,0,1,0,0,0,1.8,0,0,1,0,MEDIUM
